JetPt1, JetEta1, JetPhi1, JetMass1, JetBTagger1, JetPt2, JetEta2, JetPhi2, JetMass2, JetBTagger2, JetPt3, JetEta3, JetPhi3, JetMass3, JetBTagger3, JetPt4, JetEta4, JetPhi4, JetMass4, JetBTagger4, JetPt5, JetEta5, JetPhi5, JetMass5, JetBTagger5, JetPt6, JetEta6, JetPhi6, JetMass6, JetBTagger6, ZZPt, ZZPhi, ZZEta, ZZMass, weight
167.919 ,0.482025 ,-2.08801 ,22.5197 ,0.971705 ,120.955 ,-0.46821 ,-1.74456 ,20.7621 ,0.0329088 ,100.728 ,0.174646 ,-1.35817 ,11.5285 ,0.0192204 ,96.4823 ,-1.95124 ,1.73782 ,20.1731 ,0.150884 ,50.4187 ,-0.749251 ,0.0711079 ,6.17587 ,0.982653 ,47.143 ,-0.598566 ,2.69972 ,7.88969 ,0.0157438 ,319.693 ,0.80626 ,-0.515958 ,124.493 ,6.95968e-05
144.466 ,0.628413 ,2.62127 ,19.8246 ,0.0305972 ,136.252 ,1.55227 ,-0.63916 ,13.9784 ,0.312568 ,97.0008 ,0.480726 ,1.98644 ,13.5769 ,0.024804 ,33.1264 ,0.607856 ,0.271851 ,5.20893 ,0.976488 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,98.5158 ,-1.74533 ,1.84779 ,124.704 ,6.37103e-05
102.835 ,0.199066 ,2.45496 ,16.4936 ,0.0257511 ,48.4359 ,-0.361294 ,-1.84079 ,7.84338 ,0.0224241 ,44.901 ,-0.0542998 ,0.954967 ,6.13125 ,0.9945 ,30.3905 ,1.62595 ,2.51925 ,6.62912 ,0.0320085 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,78.3902 ,1.23367 ,-0.313155 ,125.586 ,6.33165e-05
175.558 ,1.10952 ,-3.01175 ,26.9961 ,0.0389346 ,148.459 ,0.610562 ,-1.80196 ,14.3108 ,0.704204 ,110.652 ,0.271242 ,0.823584 ,27.2985 ,0.575639 ,103.526 ,-0.733042 ,0.764862 ,9.52955 ,0.0100426 ,52.3919 ,0.803142 ,-1.12215 ,10.3391 ,0.0442582 ,52.2956 ,-0.0125463 ,-0.087843 ,9.10433 ,0.942146 ,68.9061 ,-2.8827 ,-1.20162 ,120.685 ,5.32636e-05
119.212 ,-0.532096 ,0.517016 ,25.9342 ,0.495406 ,112.998 ,0.713191 ,-0.808011 ,18.7325 ,0.0505291 ,107.997 ,-0.0700296 ,0.0510734 ,10.2769 ,0.813134 ,59.8063 ,-0.809777 ,-1.56207 ,9.33095 ,0.0118877 ,45.7166 ,0.909339 ,-1.57705 ,9.93934 ,0.0360547 ,38.0613 ,-0.735353 ,-0.519945 ,6.93131 ,0.161542 ,356.598 ,2.60199 ,-0.126472 ,123.416 ,7.48571e-05
183.812 ,-0.350705 ,2.79231 ,27.3103 ,0.0147457 ,104.132 ,-1.43252 ,1.75549 ,18.826 ,0.0466731 ,83.9375 ,0.755947 ,2.81931 ,7.78687 ,0.991769 ,67.1402 ,-0.0292657 ,-2.72656 ,15.2969 ,0.0191544 ,64.8916 ,-0.709896 ,-0.871233 ,8.8249 ,0.97836 ,61.1159 ,-2.30819 ,0.866391 ,13.4663 ,0.189608 ,106.142 ,-0.788813 ,-1.70012 ,123.396 ,3.87759e-05
91.8829 ,0.00042135 ,-2.502 ,11.4544 ,0.0354619 ,85.4164 ,-0.678661 ,1.07847 ,13.6111 ,0.0579896 ,70.62 ,-0.573057 ,-2.2843 ,7.92439 ,0.998366 ,50.7101 ,2.51165 ,0.887218 ,13.392 ,0.401571 ,44.6932 ,0.845457 ,2.81639 ,8.36671 ,0.115935 ,31.4147 ,-1.06126 ,-1.77309 ,8.15702 ,0.052678 ,92.8338 ,0.559399 ,0.585812 ,125.473 ,9.03294e-05
77.0011 ,-1.3074 ,2.05893 ,12.9213 ,0.0132658 ,58.0391 ,1.4384 ,-1.59356 ,8.4728 ,0.999519 ,55.0163 ,0.206737 ,-2.91355 ,8.53638 ,0.0778485 ,31.1512 ,2.05702 ,2.80104 ,4.70084 ,0.0923577 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,118.592 ,-0.43149 ,0.509925 ,121.954 ,9.24268e-05
73.733 ,-2.54143 ,2.49252 ,12.2192 ,0.157671 ,58.1602 ,-2.38413 ,0.290849 ,10.8048 ,-2 ,42.6952 ,-0.347048 ,2.078 ,9.64326 ,0.0235584 ,39.7591 ,0.286172 ,-2.2486 ,5.96182 ,0.64497 ,36.3408 ,-3.59149 ,-2.88352 ,6.97367 ,-2 ,-999 ,-999 ,-999 ,-999 ,-999 ,100.8 ,-0.361984 ,-0.365499 ,122.498 ,1.3563e-05
141.922 ,-0.735786 ,2.75883 ,17.2519 ,0.998454 ,138.149 ,-1.15985 ,-2.89898 ,11.042 ,0.00612861 ,133.869 ,-0.579089 ,2.00773 ,12.3317 ,0.00970286 ,109.422 ,-0.165677 ,2.76009 ,11.0372 ,0.436022 ,81.5792 ,-0.487272 ,-2.71636 ,10.6227 ,0.365643 ,37.8339 ,1.05052 ,0.0857284 ,7.13115 ,0.0183212 ,487.99 ,-0.454728 ,-0.888943 ,123.436 ,7.81782e-05
