LepPt[0],LepPt[1],LepPt[2],LepPt[3],LepPhi[0],LepPhi[1],LepPhi[2],LepPhi[3],LepEta[0],LepEta[1],LepEta[2],LepEta[3],JetPt1, JetEta1, JetPhi1, JetMass1, JetBTagger1, JetPt2, JetEta2, JetPhi2, JetMass2, JetBTagger2, ExtraLepPt1, ExtraLepPhi1, ExtraLepEta1, weight
85.0468,80.3017,5.81253,48.496,0.761562,1.74756,0.751568,0.426515,-0.441792,-0.539299,0.577981,-0.116993,309.948,-1.73436,-2.14399,43.3231,0.845051,52.5691,-2.37169,2.99387,6.29993,0.0235534,58.1792,1.58085,-0.195338,7.90809e-05
21.9114,60.0598,11.5688,16.7404,-1.65077,1.81016,2.62769,0.885523,-1.7905,-0.456227,-0.482491,-1.89401,439.715,-1.24834,2.04671,72.4881,0.551022,212.481,-1.55312,-0.964715,20.2117,0.938964,65.1387,-1.52238,-0.695012,4.84645e-05
89.1714,51.2473,14.1557,16.6949,-0.979164,0.404953,0.776339,-0.856562,-0.654794,-1.10478,-0.849419,-0.68467,44.8095,-0.658862,-1.67408,7.40107,0.933486,-999,-999,-999,-999,-999,36.4346,-2.79169,-0.709933,4.52322e-05
48.1815,225.325,99.549,39.2218,1.75481,2.4226,2.41727,2.73607,-0.286812,-0.787183,-0.645085,-0.335886,196.932,-0.0523528,-0.917612,17.2211,0.13284,49.2981,-2.47809,-1.80137,10.5158,0.543566,11.9122,-1.02092,0.960789,5.77394e-05
36.7027,29.8257,21.2641,39.7214,-2.72879,2.51697,-0.923995,-1.72075,-2.32189,-1.20805,-1.24358,-2.32417,81.9916,-1.44932,1.7673,9.7281,0.878668,40.8723,-0.929987,0.454977,7.11443,0.0239589,27.8535,-1.94396,-0.219399,7.61012e-05
38.431,58.6784,7.86877,10.7711,-0.265625,2.49193,-0.128997,-1.8898,1.19577,1.08621,2.1473,0.0999724,105.397,0.642686,2.10849,12.2784,0.174411,46.3045,-0.914069,-2.35449,5.01026,0.994774,60.7864,-1.65491,-0.157705,6.13127e-05
148.557,40.5701,14.9588,37.6116,1.48688,2.67888,0.597174,1.31971,-1.39703,-1.40609,-0.833473,-1.01085,248.618,-0.512331,-2.96577,28.565,0.0255832,129.062,-0.219312,2.9581,10.0607,0.0214207,109.129,-0.680488,-1.13381,2.33669e-05
43.1053,41.801,15.1746,34.0453,2.14449,-2.35835,2.3394,2.53048,-0.461681,-1.86901,-1.91717,-1.41016,90.3169,-0.988864,-0.0918954,9.29941,0.0735083,80.7383,-0.634484,-1.65497,14.4796,0.964506,27.3131,2.68548,-1.26344,0.000177938
31.8689,100.901,26.0131,25.4405,2.73405,-2.49057,3.06873,-1.25358,-0.0163633,-0.0650457,-0.843581,-0.495181,116.153,-0.180205,-0.825444,23.8773,0.511042,98.2322,0.217057,-0.0808533,14.039,0.0468068,68.8007,2.4795,0.0792998,3.86603e-05
50.2016,25.4058,10.0523,15.3522,-1.74174,0.755953,-0.908953,-2.71289,0.610945,-0.909195,-0.816141,-1.13766,165.967,-1.40763,2.39377,16.1499,0.0371822,136.434,0.352016,0.223946,15.7925,0.998848,51.5533,-1.33106,-0.483078,1.43771e-05
74.0278,40.1924,46.4242,20.035,2.15665,0.19581,1.91963,1.3257,1.0195,0.976035,0.809247,0.6081,198.043,0.867337,-0.301142,18.1158,0.556166,154.101,0.971039,-3.03797,15.2301,0.975997,85.882,0.153887,0.213779,5.14055e-05
11.6382,107.04,30.2476,8.0129,-2.36491,0.862124,0.958137,-0.892102,-1.93642,-0.485976,0.0339298,-0.851485,122.839,0.499318,-2.93271,16.1731,0.991133,74.5808,1.30569,-1.75925,11.0951,0.998255,34.6012,-1.68118,0.640011,4.24964e-05
213.692,172.515,64.2242,43.642,-0.46734,-0.197607,-0.717574,-0.166574,1.53595,1.18875,1.59021,1.32115,129.769,0.108263,-2.41364,12.4316,0.593864,92.3669,0.74032,1.3414,14.3694,0.999174,18.2768,1.92622,0.635139,2.69387e-05
60.667,11.0567,21.6967,35.454,0.314894,1.79451,1.12133,0.319586,0.990079,-0.472034,-0.717195,-0.0675324,130.45,1.16114,-2.89195,12.1014,0.966771,36.6075,2.00934,-1.27476,6.90268,0.0911283,44.8822,-2.17105,-0.958594,5.25945e-05
61.0669,36.219,15.9591,15.2018,0.706988,-3.06994,2.1063,1.1378,-0.376711,-0.744312,-0.0273061,0.00512404,74.7999,1.38014,-0.335528,10.463,0.977191,55.7824,0.500072,-0.781602,6.8546,0.11288,59.2532,1.7304,0.0470845,7.56511e-05
112.612,50.319,11.6002,32.745,2.11956,-2.87911,-2.2722,2.22467,1.07395,0.8638,0.504814,1.15476,127.183,1.08929,-0.507377,19.3278,0.785652,64.8001,0.769382,0.789049,5.7836,0.077281,54.8318,-1.65567,0.340347,5.49917e-05
28.7486,73.733,14.6541,12.8118,-0.279603,2.39681,3.0754,-1.42683,-0.364387,0.0451855,-0.589817,-0.336156,78.8917,0.909095,-2.83961,17.3272,0.729272,60.6494,-0.750376,2.30931,7.36394,0.0135901,60.5259,-0.712129,-0.00726503,4.79635e-05
41.3102,7.64588,26.5697,43.6872,-1.62692,-1.71301,-1.78304,-2.05288,0.938445,-1.80276,-0.786997,0.69629,113.988,1.89734,0.352692,11.7684,0.174723,107.458,1.3374,2.99373,14.4961,0.698225,77.8941,0.183496,0.899159,5.6204e-05
11.6631,196.69,22.7814,35.2631,-0.518168,-0.460311,0.199259,-0.346178,-1.23735,0.487871,0.888745,0.132166,136.597,-2.40088,1.311,15.2532,0.0550003,84.3985,-0.0556335,-2.86288,11.1055,0.0117725,18.5755,-1.74362,0.565833,6.68501e-05
38.9632,41.763,24.1561,14.5525,2.42954,-0.643399,-0.760392,-1.99902,2.2374,1.67662,1.93109,1.4594,106.501,0.447313,0.758077,14.946,0.996227,72.6116,-0.226658,-2.95954,11.5799,0.0104656,32.1142,-1.49024,-0.188671,7.01486e-05
40.1859,24.1232,14.4834,21.8516,0.614738,-1.28086,0.619463,-1.57069,-0.133429,1.7768,0.313369,0.81607,89.6814,1.63364,0.0534071,13.2648,0.0355195,67.631,1.48262,2.74902,10.2639,0.984667,29.4317,-0.916909,1.61039,7.02964e-05
78.7987,91.1013,24.4546,44.3605,1.33027,0.264244,1.39767,0.477368,0.805324,0.632447,1.11215,0.931687,378.428,-0.322474,-3.00533,67.9418,0.68618,126.461,0.555266,-0.971186,14.8399,0.998667,133.856,-0.226169,0.745796,7.22964e-05
66.8522,28.3288,8.54422,45.3365,-0.463882,2.70186,-1.85932,-0.646768,-0.976053,-0.875831,-1.06605,-0.795798,129.001,-1.62897,1.76543,18.5269,0.811609,80.9923,0.334341,-1.38655,10.4561,0.468662,57.6805,-2.47258,0.0133181,6.35573e-06
118.449,27.9502,23.2899,46.2127,-2.37758,2.44749,-3.13053,-2.47648,-0.368203,0.426383,0.403374,-0.0863177,185.105,0.464567,0.513574,21.0893,0.226682,107.392,0.908111,1.32871,11.8239,0.997421,49.467,-2.14216,0.561491,4.0907e-05
136.828,37.4592,15.1895,34.494,-0.00519734,0.181443,-1.08812,-0.266749,0.722497,1.8937,0.494799,0.763414,132.196,1.44554,2.36609,16.0783,0.987656,64.2068,-0.448576,-3.06614,8.45807,0.0406636,22.788,3.00146,0.927976,5.00072e-05
19.7174,46.8747,7.07382,11.3766,-1.371,-2.83702,-3.13379,0.277843,-1.2484,0.235634,0.261635,2.07896,66.1337,-0.489858,-2.03407,13.3374,0.445749,55.8848,0.197935,2.08153,8.05482,0.026971,22.2533,-2.89298,1.76425,5.25361e-05
56.8076,42.3243,7.94436,12.3435,-1.75513,-2.83646,0.051794,2.27785,-0.124378,1.06729,1.66575,-0.408815,111.122,-0.218608,-0.677318,13.4431,0.97027,110.365,2.78168,2.29107,10.0511,-2,25.3002,-0.53266,0.968795,5.83859e-05
16.5525,57.8629,15.3534,19.7586,-2.92265,0.733273,2.79535,2.37118,-0.777767,0.957023,1.38614,0.503398,169.394,0.400785,-2.07213,11.2291,0.0437752,70.7831,-0.0175451,-1.25021,10.1447,0.932404,110.486,1.01827,-0.229586,7.59984e-05
16.5224,178.347,41.9709,21.322,-1.12197,0.64077,0.577383,0.982931,-0.836282,-1.2721,-1.80395,-1.57711,73.8786,-0.0567422,-0.477097,12.1689,0.929484,-999,-999,-999,-999,-999,290.972,3.06947,-0.480861,4.70988e-05
31.1159,45.9941,27.2685,24.8575,-1.05459,-2.96944,-1.52513,-2.4282,1.00697,-0.565341,0.300595,0.439542,127.252,-0.638935,2.29761,17.5339,0.547584,70.2917,-0.218929,1.7797,12.584,0.961374,232.351,-0.778126,-0.291034,4.19297e-05
18.8732,46.6441,23.1783,14.0949,0.863119,-1.99812,-1.46231,-0.149198,1.99711,0.993104,0.102132,1.06683,71.1928,2.08543,-2.30668,10.194,0.035727,66.2732,1.75981,1.28496,8.02805,0.0107377,46.0406,2.73956,1.18866,5.68168e-05
45.4919,45.6288,12.6076,13.0106,-2.52055,0.964302,0.334473,-2.77041,-0.238257,-0.769827,0.192374,0.495061,97.2391,1.07048,1.94281,13.0554,0.00719261,66.4838,-1.14548,0.454732,8.21337,0.985342,52.3421,-0.63223,0.196358,3.37535e-05
48.0879,39.3151,9.38298,9.79317,-0.00850974,1.95459,0.506804,0.59422,0.918166,0.358057,-1.04771,1.57456,130.621,1.63344,-2.74817,10.8974,0.0299806,78.7213,1.53943,2.6104,14.1137,0.0425432,101.475,-0.44086,0.84672,7.28169e-05
49.3097,46.7582,28.1158,17.6026,1.12371,2.49031,1.17263,2.86453,1.62369,0.586401,1.38318,0.25181,148.625,-3.05706,-0.971957,20.449,-2,86.7626,0.408398,0.939505,15.6407,0.0200279,41.708,2.70655,0.466063,6.86507e-05
25.8818,44.1165,41.0042,46.635,-1.89093,-1.8366,-1.71565,-0.587561,1.52584,-0.123228,0.315272,0.674265,128.447,0.0356808,-2.88946,11.9018,0.984859,64.7306,3.42832,0.487804,9.12187,-2,23.4625,1.70302,0.230749,5.57977e-05
40.4475,15.8276,41.7924,48.7757,2.04639,-2.01905,3.02271,2.40964,0.626798,1.87824,1.39228,1.60564,60.0926,0.437698,-0.466421,9.41544,0.0431053,45.8841,2.40749,-0.242715,9.58409,0.947375,66.3018,2.961,2.01221,6.3138e-05
39.611,17.8403,42.4153,14.8743,-1.09507,-2.6201,-2.43904,2.27902,0.212374,-0.630721,0.804354,0.0671426,80.355,-0.110233,-1.81229,14.2542,0.992448,75.6349,-1.40905,2.39679,12.9277,0.0189501,19.0008,-1.44177,-0.475053,2.18566e-05
18.3529,37.426,37.1712,15.7733,-2.6911,-0.410679,0.24268,-2.66757,-1.03177,0.621672,0.0197736,0.691407,78.1617,0.564813,2.01034,8.44546,0.887483,74.5934,1.66937,-2.06463,8.31908,0.741753,16.6516,1.51199,0.98121,5.92439e-05
45.2406,52.9823,14.8083,13.1793,-0.758636,0.653041,1.25297,1.96208,-0.556163,0.575282,0.44181,-0.463575,147.944,1.0146,1.07175,19.7354,0.944787,124.897,0.261523,-2.03948,16.0945,0.965365,11.9665,-1.41057,1.37047,6.52544e-05
52.1749,41.4577,11.732,26.7973,1.98609,-0.613986,-0.717853,0.475504,-0.408546,-0.3881,0.117596,-0.520719,70.4017,-0.574903,-1.70348,4.41418,0.712135,-999,-999,-999,-999,-999,44.2516,-2.40368,-1.6396,5.35712e-05
35.2716,70.2549,27.1788,11.0464,2.44062,1.20148,1.78365,2.96886,-0.381231,0.512657,0.364642,1.93678,45.3063,0.807623,0.506869,6.59302,0.0258876,41.8863,-0.654915,-2.39706,7.89293,0.993032,39.9104,-0.569936,1.64449,5.56768e-05
38.6854,15.1944,33.7998,27.2012,0.573077,-2.31917,1.21259,2.13547,0.258255,-1.67262,-0.78063,-0.0210424,71.6902,-0.538611,0.537978,7.49531,0.715332,57.3799,-0.277375,-3.02102,13.3401,0.653996,111.576,-1.87629,0.887363,5.21424e-05
55.483,87.6004,11.8611,21.7319,-0.528563,-1.5181,-2.15674,-1.47093,0.343039,-0.577333,-1.30025,0.0212341,49.6886,1.33329,3.03801,8.53136,0.022732,46.6676,-0.213994,0.381175,10.0842,0.85955,17.7207,0.24733,1.58234,5.55409e-05
31.3389,87.9065,7.42153,56.0864,1.49385,-2.81073,2.82097,-3.06893,0.357015,-0.243581,-0.932487,-0.429524,164.812,0.0248924,-0.268933,17.1881,0.092004,159.052,0.0778713,2.635,31.3659,0.0834454,86.1153,-0.842117,-0.154061,6.48776e-05
50.1204,84.1438,25.7783,35.6884,-0.253752,-0.944721,-0.44089,0.0886983,2.06494,1.15503,1.35512,2.27337,63.8817,0.188678,2.89396,12.1132,0.998983,-999,-999,-999,-999,-999,18.0162,-1.82627,1.66353,1.33511e-05
270.946,54.2085,14.8793,60.8618,-1.97267,-1.25712,-1.10296,-1.72963,-0.3894,-0.0610851,-0.853843,-0.1988,280.931,0.851659,1.25567,26.755,0.0363133,66.9786,1.229,2.38036,9.14958,0.317938,32.1682,2.304,0.703785,7.46299e-05
66.9677,82.8828,92.8945,60.2652,0.730398,0.256191,0.409764,0.224052,0.558899,-0.371166,-0.0497529,0.0134686,120.046,-0.139618,-2.95717,14.9204,0.756116,71.0443,1.39069,-1.95902,13.5049,0.966119,139.002,-2.49033,0.610484,6.71143e-05
