JetPt1, JetEta1, JetPhi1, JetMass1, JetBTagger1, JetPt2, JetEta2, JetPhi2, JetMass2, JetBTagger2, JetPt3, JetEta3, JetPhi3, JetMass3, JetBTagger3, JetPt4, JetEta4, JetPhi4, JetMass4, JetBTagger4, ZZPt, ZZPhi, ZZEta, ZZMass, weight
161.886,-0.47501,1.14903,23.3594,0.0626974,103.059,-1.31763,-2.74379,13.9967,0.510489,60.9352,-1.8501,-1.36609,9.60357,0.0474495,31.6871,-1.47772,1.12498,5.95223,0.19141,103.575,-0.91399,0.832579,111.717,5.24337e-05
188.966,0.420657,-2.9234,16.7611,0.995768,123.624,-0.0664366,-2.67779,12.737,0.0205982,72.9098,-0.528487,-1.90203,11.7786,0.984623,47.6661,-0.707877,1.30003,8.85823,0.0136716,278.226,0.176662,-0.426475,113.963,5.12659e-05
161.763,0.546807,-2.68335,18.5377,0.746476,154.977,0.419982,1.95604,15.9953,0.0372213,87.7956,0.292413,-1.75379,11.1905,0.013209,47.5604,1.03371,0.740389,10.8972,0.515602,165.001,-0.0749156,0.165039,123.619,3.43661e-05
195.015,0.120754,-1.17796,20.2325,0.865265,160.241,-1.63188,1.70224,19.4502,0.0308148,122.353,-1.62978,1.16673,15.0037,0.585393,39.4065,-2.67268,0.646465,8.4727,0.72919,194.896,-2.72525,-0.316631,123.334,5.11485e-05
184.439,-0.40793,-1.44974,25.1042,0.975822,80.0167,-0.817587,-2.44183,11.7427,0.0217556,52.0902,-0.0588279,-2.89032,7.94027,0.993683,41.7555,-0.77263,2.29232,7.26844,0.0220879,256.285,1.10635,-0.162862,120.934,6.71179e-05
355.033,0.105919,0.187968,19.2316,0.0331211,193.398,0.565811,3.04412,15.6701,0.0401827,85.7204,0.1615,-2.88257,9.85827,0.0713528,62.8241,-0.538142,2.89979,9.44332,0.99857,48.755,-1.70799,0.992636,124.179,5.11698e-05
174.974,-0.693565,-0.886497,15.3919,0.0373581,144.748,-0.531466,1.50608,14.5647,0.0464559,66.0335,-0.855605,-2.40183,12.9589,0.86948,53.8046,-0.568629,0.734251,5.43574,0.265451,101.688,2.87151,-2.36042,120.795,3.73787e-05
133.412,-1.25733,2.83851,23.8149,0.0861946,64.9596,-1.13179,0.36022,9.9072,0.99347,64.762,-2.03323,-1.84113,13.4929,0.0306571,63.3918,0.203154,2.01901,4.39857,0.0985548,49.2525,-1.21625,-1.65041,122.999,7.43946e-05
240.67,-0.749614,3.06856,30.7921,0.892271,193.617,0.254222,-0.75577,28.9778,0.380169,72.2529,-1.36536,2.33978,13.2425,0.0150581,41.4992,-2.60201,-3.1369,11.8924,-2,174.074,0.380601,1.21537,124.977,6.62106e-05
161.38,0.750108,0.323228,32.2668,0.760858,117.337,-0.0600394,-0.254696,14.8009,0.993464,59.3083,0.491042,-2.0885,7.81094,0.0326029,42.074,-0.805813,-1.77912,8.29643,0.0145688,228.997,2.86875,-0.555507,124.382,2.73979e-05
144.72,-0.645518,2.30624,14.9659,0.00821401,133.825,0.552558,-1.63858,27.9183,0.676351,90.2226,0.203711,1.955,19.4724,0.989779,66.7302,-0.373886,0.182622,6.61987,0.267431,67.8652,0.0459213,1.68786,125.301,7.05095e-05
82.4834,0.136875,1.34145,12.829,0.0126109,79.9204,-0.670484,-0.465275,11.4556,0.0203366,64.0345,0.597242,-2.73307,7.37968,0.999578,48.6038,0.0804618,2.00718,11.0978,0.984975,92.4088,-2.19891,-0.331216,126.39,5.42578e-05
76.1359,3.12963,0.286386,8.92035,-2,66.529,1.37065,0.647206,12.464,0.210255,50.4454,0.416934,-2.61987,7.38455,0.033695,43.2206,0.295256,1.86285,5.39928,0.14056,99.549,-1.90104,1.60024,125.776,6.01237e-05
