LepPt[0],LepPt[1],LepPt[2],LepPt[3],LepPhi[0],LepPhi[1],LepPhi[2],LepPhi[3],LepEta[0],LepEta[1],LepEta[2],LepEta[3],JetPt1, JetEta1, JetPhi1, JetMass1, JetBTagger1, JetPt2, JetEta2, JetPhi2, JetMass2, JetBTagger2, ExtraLepPt1, ExtraLepPhi1, ExtraLepEta1, weight
69.6733,109.457,9.1587,62.4285,-2.28476,-1.97853,-1.3589,-2.09747,1.08012,2.0471,0.881476,1.5062,146.195 ,1.52495 ,0.0987455 ,16.1532 ,0.666475 ,104.775 ,0.526361 ,0.0446873 ,10.5793 ,0.0257886 ,177.201 ,2.44792 ,0.917966 ,5.87495e-05
78.1222,87.0004,41.5863,56.6041,-0.24373,0.338682,0.0878142,-0.344519,-0.907989,-1.68698,-1.06836,-0.835911,122.61 ,-0.459041 ,-2.52218 ,10.9092 ,0.837714 ,45.0285 ,-1.43163 ,-1.53671 ,9.3095 ,0.168426 ,42.6282 ,2.99339 ,-1.1373 ,7.56845e-05
17.8942,18.0924,29.1548,11.6668,2.08088,-0.610209,1.14624,3.09447,1.3269,1.6288,0.858282,0.257437,154.247 ,-0.0792434 ,-1.22077 ,10.3583 ,0.660304 ,86.5886 ,1.25996 ,-2.89779 ,10.2648 ,0.926361 ,44.0078 ,0.215987 ,0.0603137 ,6.02532e-05
60.1601,31.5457,18.1969,8.82708,-2.51299,1.09834,1.08446,2.4879,-0.732011,-0.180405,-0.51484,-1.79704,110.384 ,-1.30295 ,1.42113 ,15.5846 ,0.796638 ,78.4404 ,-1.29402 ,-3.03535 ,14.0042 ,0.24537 ,40.6737 ,1.13627 ,-0.999467 ,6.68905e-05
73.6011,18.2729,27.334,5.37173,-1.17548,1.15941,1.03134,-0.98197,-1.8231,-0.633032,-1.42902,-2.35944,87.9385 ,-0.30882 ,-2.95191 ,9.84622 ,0.224426 ,84.0123 ,-1.00212 ,-1.65496 ,10.8174 ,0.0632613 ,47.3632 ,1.91397 ,-0.218397 ,6.52882e-05
47.2229,43.3158,35.1671,13.0743,-1.52729,0.611754,-0.354163,-0.824654,-1.09233,-2.01299,-1.99137,-0.903655,115.531 ,1.49019 ,2.4848 ,14.0711 ,0.260948 ,108.24 ,0.0843347 ,-0.328828 ,13.9912 ,0.339759 ,48.2298 ,-2.08711 ,-0.651738 ,5.82805e-05
51.0419,15.2649,29.4118,29.6391,0.662515,-2.56109,-2.50214,2.10806,-1.13427,0.0187261,-1.5386,-0.998739,104.71 ,1.29298 ,2.07022 ,11.2311 ,0.999367 ,30.7729 ,-0.192809 ,2.76584 ,5.9108 ,0.882822 ,148.267 ,-1.21135 ,-0.817658 ,8.08767e-05
88.2466,81.8179,38.1877,35.008,-2.70612,-1.64771,-2.85066,-2.27087,-0.953835,-0.697333,-0.944844,-0.446957,200.634 ,1.46214 ,0.718061 ,22.7069 ,0.0323388 ,137.424 ,-1.10541 ,-0.186796 ,12.5743 ,0.907338 ,14.8767 ,-3.13176 ,-1.84578 ,7.48485e-05
55.6989,26.3969,27.1814,11.362,0.402478,2.20343,1.31053,0.282589,-0.316646,-1.94087,-1.19383,0.037299,209.978 ,-1.18865 ,-2.81692 ,19.4375 ,0.98636 ,127.166 ,1.07964 ,0.699666 ,19.656 ,0.0236353 ,64.9232 ,-1.26534 ,-0.774281 ,1.04347e-05
40.4457,108.486,90.9988,58.5153,1.74908,2.02669,1.69025,2.31513,-1.88323,-0.860353,-1.18638,-1.45864,222.266 ,-2.32891 ,-0.11098 ,30.3949 ,0.0654998 ,172.055 ,-0.661149 ,0.422849 ,18.588 ,0.225387 ,286.244 ,-2.41754 ,-1.31558 ,6.43783e-05
